serial_timesteps,n_updates,fps,policy_entropy,explained_variance,clipfrac,time_elapsed,policy_loss,value_loss,total_timesteps,approxkl,ep_len_mean,ep_reward_mean
14496,453,298,9.605704,0.04336726665496826,0.18359375,297.8956415653229,-0.024465257,0.004586434,57984,0.012313462,500.0,1676.2009806599997
14528,454,33,9.603612,-0.011367082595825195,0.1328125,298.3248565196991,-0.024473201,0.74871606,58112,0.00937998,500.0,1777.82818132
14560,455,284,9.609799,-0.06980752944946289,0.2109375,302.10297441482544,-0.019995991,0.007499164,58240,0.013706009,500.0,1777.82818132
14592,456,295,9.614611,-0.004178524017333984,0.1875,302.55366468429565,-0.028016822,0.009620308,58368,0.017713742,500.0,1777.82818132
14624,457,267,9.621984,-0.01266324520111084,0.119140625,302.9870836734772,-0.021920195,0.008055011,58496,0.008701564,500.0,1777.82818132
14656,458,294,9.6276455,0.022944390773773193,0.17773438,303.46580743789673,-0.024729531,0.011632116,58624,0.011787607,500.0,1777.82818132
14688,459,290,9.63745,-0.014928221702575684,0.1015625,303.9011034965515,-0.015985332,0.007862271,58752,0.008353405,500.0,1777.82818132
14720,460,301,9.637595,0.02460026741027832,0.16601562,304.34265398979187,-0.026733188,0.008739087,58880,0.012948682,500.0,1777.82818132
14752,461,295,9.636425,-0.04055941104888916,0.16015625,304.76841711997986,-0.018268442,0.0024891056,59008,0.011409363,500.0,1777.82818132
14784,462,304,9.637535,0.015393316745758057,0.21875,305.2027711868286,-0.019491151,0.005651205,59136,0.017399885,500.0,1777.82818132
14816,463,308,9.635134,-0.0008876323699951172,0.171875,305.62325501441956,-0.004372543,0.0030871802,59264,0.011979969,500.0,1777.82818132
14848,464,300,9.629928,0.012843549251556396,0.19921875,306.038996219635,-0.029796142,0.012766436,59392,0.0139291715,500.0,1777.82818132
14880,465,296,9.63056,0.034271299839019775,0.21875,306.46602177619934,-0.015054174,0.0038956346,59520,0.016696118,500.0,1777.82818132
14912,466,290,9.6287985,0.07805287837982178,0.15625,306.89793062210083,-0.017723482,0.005369127,59648,0.021405397,500.0,1777.82818132
14944,467,303,9.6237755,0.044210076332092285,0.19726562,307.33936738967896,-0.024855932,0.012085383,59776,0.015096165,500.0,1777.82818132
14976,468,317,9.627499,0.02281928062438965,0.10546875,307.76236176490784,-0.010359613,0.008999411,59904,0.008252602,500.0,1777.82818132
15008,469,32,9.628066,-0.025818705558776855,0.15429688,308.166246175766,-0.026856594,1.9831352,60032,0.010715665,500.0,1875.8309797599995
15040,470,311,9.622288,-0.03411829471588135,0.19921875,312.09899377822876,-0.03293264,0.005330559,60160,0.013888566,500.0,1875.8309797599995
15072,471,305,9.623653,-0.032532691955566406,0.20117188,312.5109980106354,-0.017273277,0.006310504,60288,0.015247648,500.0,1875.8309797599995
15104,472,311,9.627561,0.02843087911605835,0.34179688,312.93062376976013,-0.028621947,0.009734679,60416,0.029329611,500.0,1875.8309797599995
15136,473,298,9.624762,-0.01771402359008789,0.22265625,313.34257912635803,-0.016711205,0.0063557243,60544,0.016085599,500.0,1875.8309797599995
15168,474,287,9.620158,0.019024670124053955,0.22851562,313.77382588386536,-0.028120656,0.008713032,60672,0.018792119,500.0,1875.8309797599995
15200,475,294,9.612288,0.04241591691970825,0.24609375,314.22105526924133,-0.028039156,0.0074862614,60800,0.018017871,500.0,1875.8309797599995
15232,476,278,9.613056,-0.011430740356445312,0.109375,314.65603160858154,-0.015819501,0.0037373079,60928,0.008834783,500.0,1875.8309797599995
15264,477,291,9.608155,-0.002242445945739746,0.15234375,315.11632466316223,-0.020496583,0.012343627,61056,0.011512803,500.0,1875.8309797599995
15296,478,273,9.604732,0.007219910621643066,0.1328125,315.55560183525085,-0.012350839,0.005256695,61184,0.01054722,500.0,1875.8309797599995
15328,479,289,9.599936,0.024654626846313477,0.21289062,316.0246844291687,-0.024772676,0.002549863,61312,0.018413965,500.0,1875.8309797599995
15360,480,280,9.598733,-0.054022908210754395,0.18554688,316.46817111968994,-0.027784325,0.008344343,61440,0.012270112,500.0,1875.8309797599995
15392,481,290,9.595325,0.02037137746810913,0.17382812,316.9253821372986,-0.019026292,0.0067067402,61568,0.014886124,500.0,1875.8309797599995
15424,482,289,9.589976,-0.0325700044631958,0.13671875,317.3669681549072,-0.021759642,0.0034150903,61696,0.010101636,500.0,1875.8309797599995
15456,483,302,9.587956,0.0017015337944030762,0.3125,317.81082701683044,-0.03829278,0.0025797393,61824,0.027065482,500.0,1875.8309797599995
15488,484,316,9.585262,0.028206586837768555,0.17578125,318.23453164100647,-0.027835082,0.0048690173,61952,0.013032304,500.0,1875.8309797599995
15520,485,34,9.579608,-0.0321049690246582,0.16210938,318.6392710208893,-0.020927113,1.7243022,62080,0.01214606,500.0,1982.1246402999998
15552,486,295,9.572438,0.015220224857330322,0.14453125,322.34821581840515,-0.019760044,0.007147721,62208,0.009712622,500.0,1982.1246402999998
15584,487,295,9.562376,-0.034439802169799805,0.2421875,322.7822918891907,-0.026672537,0.0039190063,62336,0.017118143,500.0,1982.1246402999998
15616,488,305,9.557606,0.05312448740005493,0.107421875,323.21561646461487,-0.015957497,0.0035874173,62464,0.008451049,500.0,1982.1246402999998
15648,489,309,9.555733,-0.05638408660888672,0.05859375,323.6356704235077,-0.0111149,0.004302586,62592,0.005135368,500.0,1982.1246402999998
15680,490,310,9.546331,-0.00884866714477539,0.20507812,324.0500042438507,-0.019406572,0.0070048543,62720,0.0189236,500.0,1982.1246402999998
15712,491,306,9.539695,0.026393473148345947,0.21484375,324.46270060539246,-0.017986069,0.008785036,62848,0.013334358,500.0,1982.1246402999998
15744,492,291,9.534937,0.015761375427246094,0.1015625,324.8805923461914,-0.014800887,0.005814781,62976,0.007574166,500.0,1982.1246402999998
15776,493,298,9.536618,0.0259706974029541,0.14648438,325.32281589508057,-0.020018328,0.005460166,63104,0.009478988,500.0,1982.1246402999998
15808,494,299,9.5415535,0.061094582080841064,0.16210938,325.7527332305908,-0.022025919,0.0054004965,63232,0.01115362,500.0,1982.1246402999998
15840,495,301,9.534696,-0.0035456418991088867,0.21875,326.18015480041504,-0.026952561,0.0020647238,63360,0.01712138,500.0,1982.1246402999998
15872,496,277,9.522524,0.028136253356933594,0.14453125,326.60533595085144,-0.012032733,0.0059796083,63488,0.009335392,500.0,1982.1246402999998
15904,497,272,9.508318,-0.015346765518188477,0.16992188,327.06733775138855,-0.020280892,0.0053514605,63616,0.011400344,500.0,1982.1246402999998
15936,498,271,9.492864,0.008182048797607422,0.15234375,327.5380129814148,-0.027248427,0.008097566,63744,0.011625182,500.0,1982.1246402999998
15968,499,267,9.477726,0.051003336906433105,0.16601562,328.01007986068726,-0.01581975,0.005551772,63872,0.012781617,500.0,1982.1246402999998
16000,500,33,9.461894,0.008325278759002686,0.14453125,328.4886631965637,-0.024488345,2.142982,64000,0.009547001,500.0,2101.76803071
16032,501,293,9.45454,0.24039041996002197,0.20703125,332.2598867416382,-0.02275111,0.009756513,64128,0.014593133,500.0,2101.76803071
16064,502,317,9.456856,-0.03176283836364746,0.21289062,332.69657492637634,-0.032343566,0.007098966,64256,0.017823843,500.0,2101.76803071
16096,503,325,9.4515915,0.014825761318206787,0.14257812,333.1002821922302,-0.018735908,0.0056087165,64384,0.010503949,500.0,2101.76803071
16128,504,298,9.436608,-0.05481863021850586,0.24609375,333.49388003349304,-0.026659697,0.007831368,64512,0.01986817,500.0,2101.76803071
16160,505,300,9.436252,0.059190988540649414,0.14648438,333.9240550994873,-0.020701587,0.002605515,64640,0.010718946,500.0,2101.76803071
16192,506,299,9.440195,0.048174142837524414,0.18554688,334.3504378795624,-0.008677576,0.005995381,64768,0.012908867,500.0,2101.76803071
16224,507,288,9.443028,-0.03344583511352539,0.12890625,334.7791635990143,-0.010933667,0.0026933437,64896,0.007746066,500.0,2101.76803071
16256,508,304,9.446415,0.026174426078796387,0.1328125,335.22290444374084,-0.02166231,0.007913032,65024,0.009532224,500.0,2101.76803071
16288,509,316,9.447753,0.05070924758911133,0.24414062,335.6435213088989,-0.014910266,0.011928317,65152,0.018252123,500.0,2101.76803071
16320,510,306,9.44443,0.0007086992263793945,0.16601562,336.0490756034851,-0.02132313,0.006804533,65280,0.012320389,500.0,2101.76803071
16352,511,317,9.432448,0.02473461627960205,0.17382812,336.46732354164124,-0.015025727,0.0028601005,65408,0.013298719,500.0,2101.76803071
16384,512,322,9.417064,0.06477099657058716,0.1875,336.87098813056946,-0.02311679,0.0032637997,65536,0.012735706,500.0,2101.76803071
16416,513,288,9.411474,-0.010613799095153809,0.13085938,337.26929807662964,-0.01756989,0.0041770213,65664,0.009405762,500.0,2101.76803071
16448,514,293,9.410158,0.015796899795532227,0.16210938,337.71426486968994,-0.01488218,0.0034660425,65792,0.010593185,500.0,2101.76803071
16480,515,310,9.408614,-0.07578444480895996,0.21289062,338.15068554878235,-0.022083797,0.003931759,65920,0.015598344,500.0,2101.76803071
16512,516,30,9.405455,-0.0480036735534668,0.072265625,338.56400060653687,-0.027480096,2.1997464,66048,0.005853314,500.0,2235.9247114500004
16544,517,316,9.402045,0.00750279426574707,0.1953125,342.7669622898102,-0.018997418,0.0068984106,66176,0.016612869,500.0,2235.9247114500004
16576,518,326,9.399528,0.09701383113861084,0.16796875,343.17180371284485,-0.021230083,0.0056857257,66304,0.012069293,500.0,2235.9247114500004
16608,519,311,9.393766,0.05196613073348999,0.234375,343.5649211406708,-0.022742722,0.0062354826,66432,0.016722186,500.0,2235.9247114500004
16640,520,308,9.375837,0.04603421688079834,0.1015625,343.9765462875366,-0.014868093,0.0015463459,66560,0.006919055,500.0,2235.9247114500004
16672,521,313,9.364314,-0.02356541156768799,0.12109375,344.39163184165955,-0.024106896,0.0057822424,66688,0.011130926,500.0,2235.9247114500004
16704,522,314,9.356499,0.0578727126121521,0.15625,344.800532579422,-0.015126826,0.0056699556,66816,0.0126709975,500.0,2235.9247114500004
16736,523,298,9.358015,-0.01926577091217041,0.15625,345.2080147266388,-0.023061639,0.0042247334,66944,0.0104942825,500.0,2235.9247114500004
16768,524,293,9.364535,0.012140214443206787,0.15820312,345.6396245956421,-0.027258094,0.0013452896,67072,0.01101059,500.0,2235.9247114500004
16800,525,303,9.373964,0.03792518377304077,0.171875,346.0766043663025,-0.021478718,0.0029450315,67200,0.011470814,500.0,2235.9247114500004
16832,526,305,9.36985,-0.05191826820373535,0.15820312,346.4982991218567,-0.028208291,0.002050109,67328,0.011106333,500.0,2235.9247114500004
16864,527,294,9.362335,-0.0860205888748169,0.2109375,346.9175069332123,-0.023831539,0.0032262118,67456,0.014711556,500.0,2235.9247114500004
16896,528,305,9.361186,0.058295488357543945,0.22070312,347.3528501987457,-0.023517651,0.0024742216,67584,0.01689359,500.0,2235.9247114500004
16928,529,282,9.354761,0.009870946407318115,0.30078125,347.7730202674866,-0.017982727,0.0045149224,67712,0.023743672,500.0,2235.9247114500004
16960,530,304,9.35344,0.05440163612365723,0.19921875,348.22716331481934,-0.032218613,0.0024341864,67840,0.017137613,500.0,2235.9247114500004
16992,531,295,9.355413,0.01122969388961792,0.13867188,348.64779710769653,-0.025238225,0.00548975,67968,0.009516996,500.0,2235.9247114500004
17024,532,33,9.353551,-0.026737213134765625,0.1875,349.08210849761963,-0.026353082,1.2287954,68096,0.012319373,500.0,2363.30131905
17056,533,297,9.350607,-0.13527178764343262,0.22851562,352.85490584373474,-0.03643657,0.004745131,68224,0.016438931,500.0,2363.30131905
17088,534,305,9.352879,0.07063937187194824,0.14257812,353.28510189056396,-0.01746405,0.0031915233,68352,0.009871565,500.0,2363.30131905
17120,535,315,9.353521,0.00047212839126586914,0.15625,353.70527362823486,-0.012332026,0.0031347333,68480,0.010717053,500.0,2363.30131905
17152,536,302,9.354134,0.08032470941543579,0.2265625,354.1112365722656,-0.0317088,0.0036100182,68608,0.015961545,500.0,2363.30131905
17184,537,299,9.349966,0.05991595983505249,0.14648438,354.5350923538208,-0.021311417,0.0028734386,68736,0.010739016,500.0,2363.30131905
17216,538,319,9.341681,-0.014475107192993164,0.2421875,354.9631259441376,-0.026473975,0.0048622596,68864,0.017268352,500.0,2363.30131905
17248,539,308,9.337445,0.021276116371154785,0.26171875,355.3639132976532,-0.033984445,0.004844187,68992,0.024438739,500.0,2363.30131905
17280,540,289,9.340875,0.018587827682495117,0.23828125,355.7793414592743,-0.021626618,0.003348324,69120,0.020992078,500.0,2363.30131905
17312,541,307,9.345119,0.05895042419433594,0.28125,356.2223074436188,-0.030777901,0.006318482,69248,0.022575455,500.0,2363.30131905
17344,542,306,9.348182,-0.016548752784729004,0.3203125,356.6401343345642,-0.02490891,0.0044832486,69376,0.02849278,500.0,2363.30131905
17376,543,303,9.357866,-0.03237462043762207,0.20117188,357.05936646461487,-0.0242024,0.0028079888,69504,0.014808224,500.0,2363.30131905
17408,544,311,9.369933,0.008394062519073486,0.18945312,357.4825322628021,-0.02314401,0.0031157748,69632,0.013294288,500.0,2363.30131905
17440,545,320,9.374131,0.05455273389816284,0.1640625,357.8941767215729,-0.018837674,0.0028607417,69760,0.012848674,500.0,2363.30131905
17472,546,315,9.373516,0.03431791067123413,0.20117188,358.293643951416,-0.028425362,0.0021656353,69888,0.01441991,500.0,2363.30131905
17504,547,33,9.368051,-0.03635203838348389,0.08203125,358.70060682296753,-0.01632455,2.0210805,70016,0.007842015,500.0,2505.14568813
17536,548,270,9.367769,0.17865866422653198,0.28125,362.5070822238922,-0.028965645,0.008950333,70144,0.025938557,500.0,2505.14568813
17568,549,266,9.369044,0.026087820529937744,0.265625,362.9807753562927,-0.023113564,0.0059377803,70272,0.02104967,500.0,2505.14568813
17600,550,308,9.369021,0.0019853711128234863,0.1796875,363.4625084400177,-0.018690111,0.0024987694,70400,0.011030134,500.0,2505.14568813
17632,551,306,9.374067,0.03707975149154663,0.12109375,363.87894010543823,-0.019693222,0.0022405272,70528,0.009047642,500.0,2505.14568813
17664,552,276,9.379468,0.015555024147033691,0.25585938,364.2980170249939,-0.020771269,0.0022228397,70656,0.020000266,500.0,2505.14568813
17696,553,276,9.385492,0.0017264485359191895,0.14453125,364.76355838775635,-0.0068459404,0.0018166607,70784,0.011624693,500.0,2505.14568813
17728,554,263,9.381913,-0.0026869773864746094,0.21484375,365.2278869152069,-0.023405759,0.002107299,70912,0.01710805,500.0,2505.14568813
17760,555,295,9.375586,-0.02603912353515625,0.22265625,365.7148027420044,-0.013165064,0.0020951303,71040,0.0157866,500.0,2505.14568813
17792,556,321,9.369306,-0.004326939582824707,0.23046875,366.14910769462585,-0.035919067,0.0030319314,71168,0.023458177,500.0,2505.14568813
17824,557,322,9.366997,0.03851485252380371,0.1875,366.54818987846375,-0.01767218,0.0023324094,71296,0.024595387,500.0,2505.14568813
17856,558,303,9.367384,-0.0099334716796875,0.22070312,366.9451651573181,-0.008812826,0.0043434678,71424,0.020174902,500.0,2505.14568813
17888,559,316,9.362692,0.06300276517868042,0.29492188,367.36766147613525,-0.021563087,0.0025538912,71552,0.020860054,500.0,2505.14568813
17920,560,308,9.354809,-0.0005731582641601562,0.09375,367.7728588581085,-0.008410756,0.003024167,71680,0.0073124133,500.0,2505.14568813
17952,561,317,9.346621,0.028425157070159912,0.09375,368.1886901855469,-0.01947755,0.003981895,71808,0.0061161164,500.0,2505.14568813
17984,562,302,9.343778,0.006952822208404541,0.32421875,368.5925805568695,-0.012678519,0.0022309576,71936,0.029461943,500.0,2505.14568813
18016,563,32,9.341397,-0.024961471557617188,0.16015625,369.01607632637024,-0.022567973,1.6474061,72064,0.010838692,500.0,2647.06355637
18048,564,305,9.337295,-0.04394030570983887,0.13476562,372.9404499530792,-0.014664093,0.006197539,72192,0.009866343,500.0,2647.06355637
18080,565,281,9.335804,-0.08166229724884033,0.13671875,373.35947155952454,-0.0138908755,0.0037568812,72320,0.010076033,500.0,2647.06355637
18112,566,295,9.339734,0.013341248035430908,0.18359375,373.814932346344,-0.019423962,0.00232133,72448,0.012396776,500.0,2647.06355637
18144,567,278,9.333134,0.05192309617996216,0.1328125,374.24831676483154,-0.019204224,0.0051496383,72576,0.008671463,500.0,2647.06355637
18176,568,276,9.329643,-0.027889251708984375,0.31445312,374.70910358428955,-0.039647885,0.0021827335,72704,0.032258637,500.0,2647.06355637
18208,569,288,9.329837,-0.008842945098876953,0.22070312,375.17325472831726,-0.018571958,0.0022647162,72832,0.014878334,500.0,2647.06355637
18240,570,279,9.3311205,0.10033553838729858,0.29882812,375.6180410385132,-0.02247611,0.0019650972,72960,0.027323574,500.0,2647.06355637
18272,571,293,9.32958,0.007990002632141113,0.12109375,376.0770356655121,-0.021640094,0.0044028135,73088,0.009129879,500.0,2647.06355637
18304,572,298,9.3259115,0.03500396013259888,0.29101562,376.51356506347656,-0.030131496,0.0020907638,73216,0.021735234,500.0,2647.06355637
18336,573,308,9.318896,-0.03567910194396973,0.123046875,376.94284677505493,-0.019806791,0.0033084012,73344,0.008913902,500.0,2647.06355637
18368,574,319,9.310467,0.0316806435585022,0.1953125,377.3580479621887,-0.026113408,0.0024229393,73472,0.01762257,500.0,2647.06355637
18400,575,329,9.299755,-0.04324924945831299,0.2421875,377.76042103767395,-0.029233994,0.0012775629,73600,0.017886119,500.0,2647.06355637
18432,576,314,9.292685,0.06355452537536621,0.25585938,378.1509630680084,-0.014466608,0.0031438787,73728,0.024862304,500.0,2647.06355637
18464,577,308,9.293869,-0.021111369132995605,0.23828125,378.55882573127747,-0.030633043,0.0029335036,73856,0.015496424,500.0,2647.06355637
18496,578,297,9.2940645,0.011199355125427246,0.19140625,378.97400999069214,-0.02432156,0.001789377,73984,0.015893338,500.0,2647.06355637
18528,579,33,9.295779,-0.005166769027709961,0.14257812,379.40506887435913,-0.008142848,0.7496741,74112,0.009970829,500.0,2795.49714494
18560,580,289,9.291401,-0.04788672924041748,0.20703125,383.2447671890259,-0.012041401,0.0031516964,74240,0.014938197,500.0,2795.49714494
18592,581,325,9.289876,-0.202423095703125,0.19726562,383.68763637542725,-0.017437562,0.0019005759,74368,0.014614278,500.0,2795.49714494
18624,582,303,9.294472,0.018624424934387207,0.20117188,384.08181262016296,-0.023806933,0.0023255863,74496,0.01670051,500.0,2795.49714494
18656,583,311,9.301617,0.03503429889678955,0.16601562,384.503586769104,-0.01687613,0.00378407,74624,0.011986172,500.0,2795.49714494
18688,584,296,9.30795,-0.06778621673583984,0.26367188,384.91528725624084,-0.035141468,0.0027943915,74752,0.018658089,500.0,2795.49714494
18720,585,271,9.302083,-0.03575253486633301,0.19140625,385.3497371673584,-0.022507275,0.0012636792,74880,0.01371987,500.0,2795.49714494
18752,586,273,9.292278,0.019463658332824707,0.13476562,385.8216474056244,-0.012063586,0.0014904193,75008,0.009253746,500.0,2795.49714494
18784,587,284,9.288,-0.04932689666748047,0.24804688,386.2912039756775,-0.014439658,0.0020303614,75136,0.017749164,500.0,2795.49714494
18816,588,295,9.28119,-0.05141043663024902,0.33203125,386.74102091789246,-0.0037744574,0.0027376974,75264,0.03614921,500.0,2795.49714494
18848,589,277,9.272827,0.022602558135986328,0.18359375,387.1754148006439,-0.022052037,0.0019878708,75392,0.010973557,500.0,2795.49714494
18880,590,281,9.266784,-0.05305361747741699,0.19921875,387.63740706443787,-0.008988759,0.0010681887,75520,0.018401725,500.0,2795.49714494
18912,591,275,9.265441,0.01128774881362915,0.12109375,388.0934500694275,-0.01500243,0.0010249203,75648,0.009742962,500.0,2795.49714494
18944,592,317,9.265358,0.01666879653930664,0.13671875,388.55836391448975,-0.014013618,0.002488195,75776,0.0077647534,500.0,2795.49714494
18976,593,317,9.260218,-0.047849059104919434,0.2109375,388.9630615711212,-0.030329522,0.0027267118,75904,0.013658419,500.0,2795.49714494
19008,594,31,9.248933,-0.035820603370666504,0.17773438,389.3668625354767,-0.02668529,1.6534187,76032,0.010972107,500.0,2940.007083049999
19040,595,300,9.243292,0.06482839584350586,0.13476562,393.4477984905243,-0.022685172,0.008072874,76160,0.010082154,500.0,2940.007083049999
19072,596,316,9.248693,-0.08130109310150146,0.25390625,393.87431383132935,-0.010781448,0.0018934576,76288,0.022070523,500.0,2940.007083049999
19104,597,305,9.250012,-0.0024614334106445312,0.25195312,394.2798044681549,-0.026787367,0.0022311253,76416,0.015891604,500.0,2940.007083049999
19136,598,307,9.245944,0.015649914741516113,0.17578125,394.6993613243103,-0.011398353,0.00227871,76544,0.014160934,500.0,2940.007083049999
19168,599,296,9.241629,0.025979280471801758,0.16992188,395.11554980278015,-0.016245078,0.0037278475,76672,0.0110039115,500.0,2940.007083049999
19200,600,287,9.240165,-0.0861520767211914,0.24414062,395.54744124412537,-0.024225673,0.0013523939,76800,0.019408032,500.0,2940.007083049999
19232,601,309,9.243305,0.008938014507293701,0.15429688,395.9928352832794,-0.011959075,0.0016012281,76928,0.012898603,500.0,2940.007083049999
19264,602,296,9.246392,-0.022469758987426758,0.1796875,396.40772581100464,-0.020704925,0.0013754911,77056,0.01350415,500.0,2940.007083049999
19296,603,307,9.2468605,-0.10210442543029785,0.23632812,396.8409261703491,-0.021003395,0.002559896,77184,0.017245844,500.0,2940.007083049999
19328,604,285,9.251454,0.04867589473724365,0.123046875,397.25768399238586,-0.020692155,0.0021222832,77312,0.009609917,500.0,2940.007083049999
19360,605,289,9.249807,-0.024944543838500977,0.3046875,397.7071466445923,-0.022590082,0.0014732833,77440,0.035325225,500.0,2940.007083049999
19392,606,283,9.245657,0.03007042407989502,0.21679688,398.15006852149963,-0.024661835,0.0012274585,77568,0.01656378,500.0,2940.007083049999
19424,607,278,9.241523,-0.01946091651916504,0.20117188,398.6020336151123,-0.012113723,0.0024084582,77696,0.015089416,500.0,2940.007083049999
19456,608,315,9.236711,-0.0058138370513916016,0.15234375,399.0629689693451,-0.0043793772,0.0017388365,77824,0.0097037265,500.0,2940.007083049999
19488,609,264,9.230835,-0.0036624670028686523,0.109375,399.4697017669678,-0.006422288,0.0020981908,77952,0.007167409,500.0,2940.007083049999
19520,610,34,9.231136,-0.014040827751159668,0.21679688,399.9549226760864,-0.03348905,1.2355717,78080,0.039074536,500.0,3095.510729860001
19552,611,295,9.230885,-0.172227144241333,0.2578125,403.66560769081116,-0.024087284,0.0016391207,78208,0.018938456,500.0,3095.510729860001
19584,612,303,9.237763,0.020226478576660156,0.23242188,404.0998532772064,-0.030284291,0.0034852268,78336,0.0224609,500.0,3095.510729860001
19616,613,311,9.2358265,0.00989300012588501,0.265625,404.52225828170776,-0.023565441,0.0026337425,78464,0.022390775,500.0,3095.510729860001
19648,614,317,9.226267,-0.017069101333618164,0.109375,404.9346835613251,-0.009844279,0.0014159069,78592,0.0081654955,500.0,3095.510729860001
19680,615,327,9.226734,-0.08941590785980225,0.15429688,405.33795189857483,-0.020164747,0.0011109338,78720,0.010310519,500.0,3095.510729860001
19712,616,325,9.220982,0.04024606943130493,0.21679688,405.72949600219727,-0.024269905,0.001698716,78848,0.014684428,500.0,3095.510729860001
19744,617,283,9.1999655,0.035443782806396484,0.2109375,406.12340569496155,-0.023536477,0.0016965965,78976,0.013385763,500.0,3095.510729860001
19776,618,328,9.190466,0.037040114402770996,0.19726562,406.5757260322571,-0.016952131,0.0025862022,79104,0.011952445,500.0,3095.510729860001
19808,619,298,9.1885195,0.13484424352645874,0.29492188,406.9674696922302,-0.028123112,0.0015375299,79232,0.028367292,500.0,3095.510729860001
19840,620,311,9.184857,0.14108383655548096,0.328125,407.39717078208923,-0.0141405575,0.002138143,79360,0.027183093,500.0,3095.510729860001
19872,621,316,9.189503,0.004419684410095215,0.26367188,407.8087043762207,-0.027876418,0.0014032868,79488,0.020573517,500.0,3095.510729860001
19904,622,290,9.193782,-0.28038454055786133,0.296875,408.21420192718506,-0.0038593467,0.0016110294,79616,0.022945262,500.0,3095.510729860001
19936,623,325,9.192865,-0.3186068534851074,0.34375,408.6558790206909,-0.011372844,0.0013516151,79744,0.029839123,500.0,3095.510729860001
19968,624,304,9.191463,0.15429043769836426,0.22460938,409.0502426624298,-0.01778347,0.0022434504,79872,0.016989635,500.0,3095.510729860001
20000,625,33,9.187619,-0.0021458864212036133,0.26171875,409.4712200164795,-0.0016327763,1.516965,80000,0.019552294,500.0,3242.9781557700003
20032,626,300,9.1859455,0.22873181104660034,0.26367188,413.2944800853729,-0.033195764,0.00882341,80128,0.023502873,500.0,3242.9781557700003
20064,627,314,9.182288,-0.003998160362243652,0.2421875,413.7227394580841,-0.01965256,0.0022976478,80256,0.01720275,500.0,3242.9781557700003
20096,628,305,9.182609,0.009861886501312256,0.23828125,414.1309769153595,-0.016488824,0.0018594954,80384,0.017316584,500.0,3242.9781557700003
20128,629,310,9.185198,0.015506923198699951,0.203125,414.5502305030823,-0.016798375,0.0018993018,80512,0.013318121,500.0,3242.9781557700003
20160,630,310,9.178294,0.20110803842544556,0.1953125,414.9635646343231,-0.020017168,0.001879692,80640,0.011746274,500.0,3242.9781557700003
20192,631,312,9.169045,0.038000524044036865,0.17773438,415.37672185897827,-0.0026857196,0.002353059,80768,0.011903238,500.0,3242.9781557700003
20224,632,285,9.166498,0.05453932285308838,0.119140625,415.7874071598053,-0.023893796,0.0013995303,80896,0.010287618,500.0,3242.9781557700003
20256,633,286,9.169933,0.19637542963027954,0.107421875,416.23627519607544,-0.013478532,0.0016897664,81024,0.008117725,500.0,3242.9781557700003
20288,634,313,9.172354,0.19956958293914795,0.140625,416.6842005252838,-0.012810945,0.0021114252,81152,0.012868028,500.0,3242.9781557700003
20320,635,323,9.172213,0.07727712392807007,0.16796875,417.09314823150635,-0.011135918,0.0014594474,81280,0.012181832,500.0,3242.9781557700003
20352,636,310,9.175609,0.43680286407470703,0.27734375,417.48932790756226,-0.030969214,0.0014779771,81408,0.02296792,500.0,3242.9781557700003
20384,637,304,9.183424,0.17617154121398926,0.29492188,417.9029061794281,-0.014724507,0.001358495,81536,0.02171772,500.0,3242.9781557700003
20416,638,302,9.197144,0.08468091487884521,0.1796875,418.32441806793213,-0.0022053546,0.0021961967,81664,0.016692348,500.0,3242.9781557700003
20448,639,303,9.201551,0.2932497262954712,0.17578125,418.74766397476196,-0.020502403,0.00079690217,81792,0.014365422,500.0,3242.9781557700003
20480,640,299,9.205285,0.20826351642608643,0.26953125,419.169716835022,-0.0026278135,0.002474488,81920,0.022612074,500.0,3242.9781557700003
20512,641,32,9.203465,-0.1360529661178589,0.140625,419.5984754562378,-0.02562117,1.4545332,82048,0.011540313,500.0,3402.1449238499995
20544,642,301,9.206557,0.14302557706832886,0.28710938,423.561731338501,-0.032378316,0.0034859648,82176,0.021312255,500.0,3402.1449238499995
20576,643,295,9.206672,0.05859130620956421,0.12890625,423.9871644973755,-0.016323755,0.0021353664,82304,0.009884763,500.0,3402.1449238499995
20608,644,293,9.203021,0.007305562496185303,0.20507812,424.42082023620605,-0.013465663,0.001315848,82432,0.013531068,500.0,3402.1449238499995
20640,645,322,9.199766,-0.034247398376464844,0.24804688,424.85756278038025,-0.021276008,0.0020828277,82560,0.01682467,500.0,3402.1449238499995
20672,646,307,9.199285,-0.024811506271362305,0.16210938,425.25554180145264,-0.0062465323,0.0015016729,82688,0.010621827,500.0,3402.1449238499995
20704,647,304,9.189707,0.1000661849975586,0.26757812,425.672890663147,-0.015802313,0.00094579975,82816,0.022336854,500.0,3402.1449238499995
20736,648,301,9.182874,-0.06697070598602295,0.21679688,426.0944199562073,-0.01334598,0.00083963637,82944,0.015716575,500.0,3402.1449238499995
20768,649,308,9.177276,0.13024914264678955,0.083984375,426.5202844142914,-0.010507698,0.0013536576,83072,0.0060759354,500.0,3402.1449238499995
20800,650,307,9.161876,-0.1120452880859375,0.22460938,426.9362051486969,-0.013491681,0.00086582365,83200,0.02135181,500.0,3402.1449238499995
